CMOP_down;CMOP_up;Mono_down;Mono_up
Cdc42ep2;Rnd2;Gfi1;Amd-ps3
Ms4a7;Ssc4d;Cacnb1;Rpl4
Bbx;Tnfsf13;Cdr2;Mmp2
Slc15a3;Slamf9;Rtkn;Rpl34
Uhrf2;Maob;Slc29a1;Ppp1r9a
Wdtc1;Filip1;Secisbp2;Rpl7
;;Hdc;Rpl26
;;Ica1;Rap1gap
;;;Rpl6
;;;Rps21
;;;Rpl37rt
;;;Rps20
;;;Rpl30
;;;Rps26
;;;Rps23-ps1
;;;Tln2
;;;Saa3
;;;Lcn2
;;;S100a9
;;;S100a8
;;;Wfdc21
;;;Lrg1
;;;Dmkn
;;;Hoxa9
;;;Il21r
;;;Rab7b
;;;AW112010
;;;Rpl31
;;;Il18rap
;;;Tmem258
;;;Rps10
;;;Rps18
;;;Rps17
;;;Rpl19
;;;Rapsn
;;;Nt5c2
;;;Grhpr
;;;Dstn
;;;Pcdhgc4
;;;Rps12l1
;;;Eef1b2
;;;Rpl36a-ps2
;;;Cngb1
;;;Ccdc80
;;;Actr5
